semesters_completed,cpi,internal_marks_percentage,attendance_percentage,total_backlogs,study_hours_weekly,pyq_solving_frequency,sleep_category,gaming_hours_weekly,extra_curricular_level,travel_time_category,department
5,7.35,59.0,76.1,0,18.6,2,6-8,6.4,High,<30,EE
6,6.02,55.2,66.4,3,10.3,0,>8,6.7,Medium,>60,CE
2,7.24,52.8,77.8,2,17.4,2,<6,9.5,Low,<30,CE
7,8.24,76.5,89.6,0,21.6,4,6-8,4.2,Medium,30-60,EC
4,6.76,54.4,78.6,3,15.1,1,<6,6.7,High,<30,CE
4,6.53,66.4,87.8,2,18.8,4,6-8,0.0,Medium,30-60,EC
6,7.01,52.2,67.4,5,15.7,3,<6,8.6,Low,<30,EE
7,6.6,64.0,76.9,4,17.8,0,<6,11.4,Low,30-60,EC
5,9.32,100.0,85.6,0,32.0,5,<6,4.9,Low,30-60,IT
0,8.25,34.7,57.3,-1,9.8,1,<6,13.7,Medium,<30,EE
4,7.16,74.1,89.1,0,15.0,4,6-8,6.9,Medium,<30,CE
6,7.5,64.2,87.2,1,11.3,4,6-8,0.1,Low,>60,ME
4,6.53,46.2,71.6,3,7.9,1,<6,6.7,Low,<30,CE
7,7.99,70.2,100.0,0,20.3,3,6-8,5.1,Medium,30-60,EC
7,4.56,39.1,53.3,5,7.8,0,<6,13.2,Medium,30-60,IT
4,5.88,61.3,71.2,4,9.5,2,6-8,10.1,Medium,30-60,EC
3,5.1,41.3,60.2,4,8.4,1,>8,10.3,Medium,30-60,EC
0,6.85,71.0,82.4,-1,16.1,2,>8,5.5,Medium,30-60,ICT
5,6.04,63.5,65.4,1,13.0,0,<6,17.0,Medium,>60,ICT
2,7.02,80.5,100.0,4,19.8,3,6-8,7.0,Low,30-60,EC
5,6.37,54.1,61.3,1,6.4,3,>8,6.4,Low,>60,EC
6,5.87,66.5,72.3,3,17.1,2,6-8,13.0,High,30-60,ME
3,6.35,53.9,88.0,5,16.9,4,6-8,9.6,Low,30-60,IT
0,7.3,55.2,68.2,-1,16.2,2,6-8,6.2,Medium,>60,EC
6,5.13,43.8,58.3,3,19.8,1,6-8,10.3,Low,30-60,EC
4,10.0,88.0,100.0,0,26.5,5,<6,0.0,Medium,30-60,CE
2,7.46,61.9,66.8,5,13.7,1,<6,10.3,Medium,30-60,ME
5,3.49,43.2,53.6,1,3.0,0,<6,12.9,Low,>60,EC
5,5.85,54.8,77.2,5,9.1,1,6-8,10.0,Low,<30,ICT
1,5.81,37.5,78.4,4,10.3,2,<6,13.3,Low,<30,IT
5,7.75,89.3,94.7,2,21.2,4,<6,6.5,High,<30,CE
2,7.75,78.7,90.3,0,13.9,3,6-8,3.8,Low,<30,CE
6,7.05,66.2,65.7,3,22.4,2,<6,6.2,Medium,30-60,ICT
7,6.06,58.6,78.5,1,12.0,1,6-8,5.9,Low,>60,ME
1,7.21,66.3,62.9,3,9.0,2,6-8,9.0,Medium,<30,ME
7,5.8,50.1,66.9,4,11.9,1,6-8,10.1,Medium,<30,CE
7,6.76,69.0,63.8,3,12.1,2,>8,12.5,Medium,30-60,IT
3,7.88,70.9,75.0,1,16.7,3,6-8,4.0,High,<30,EC
0,5.75,55.6,80.3,-1,20.0,3,6-8,3.7,Low,30-60,ME
5,6.8,53.9,79.2,1,20.2,4,>8,4.1,Medium,<30,ME
3,6.8,69.6,81.5,2,19.3,3,6-8,7.5,Low,<30,EE
1,7.76,60.3,70.5,2,17.1,3,6-8,7.0,High,30-60,ME
1,6.3,66.9,74.6,1,18.3,3,6-8,10.3,High,>60,CE
1,6.35,74.1,86.1,3,17.9,2,<6,6.4,Low,<30,EC
2,9.01,78.3,97.5,0,26.9,4,<6,4.4,Medium,>60,IT
6,5.89,37.4,72.6,5,8.5,1,<6,9.9,Low,<30,EC
6,5.69,56.7,71.3,5,11.3,1,<6,15.3,Low,<30,ICT
4,4.4,35.7,64.8,7,17.0,1,6-8,18.2,Medium,30-60,IT
4,6.66,49.8,69.8,4,17.7,2,6-8,7.6,High,30-60,CE
7,4.65,28.1,69.1,8,11.8,0,>8,8.1,High,<30,EE
7,7.37,72.6,77.1,3,10.6,3,6-8,12.2,Low,30-60,EC
6,6.71,67.0,84.6,3,18.5,3,6-8,6.9,Medium,30-60,IT
3,9.12,82.2,76.7,0,15.8,5,6-8,6.5,Medium,<30,IT
3,4.75,58.7,77.4,7,16.6,1,6-8,7.8,Low,<30,ME
7,6.52,47.2,84.7,1,16.4,1,6-8,8.2,Low,30-60,CE
7,7.94,78.1,77.7,0,16.8,5,6-8,4.8,Low,<30,EE
6,7.8,84.9,85.6,0,18.1,4,<6,4.5,Medium,<30,EE
6,5.55,46.3,71.0,2,16.2,2,<6,11.0,Medium,>60,EC
4,6.92,63.2,74.9,3,21.8,2,>8,6.7,Medium,<30,EC
2,6.35,69.3,75.2,1,13.2,3,<6,6.2,Medium,30-60,CE
2,7.81,84.9,68.1,0,16.5,2,>8,7.6,Low,<30,IT
1,6.44,63.9,80.7,5,8.1,2,>8,6.2,Medium,<30,EE
5,8.22,65.0,86.4,1,29.9,3,6-8,6.1,Medium,30-60,CE
6,3.62,28.4,59.3,4,3.0,0,6-8,13.1,Medium,>60,EE
3,6.18,49.4,59.2,5,12.2,1,<6,7.4,High,<30,EE
0,9.5,63.0,82.6,-1,20.0,3,<6,6.7,Medium,30-60,ME
7,6.79,67.7,90.9,0,18.5,3,6-8,9.0,High,30-60,IT
3,8.17,60.2,85.5,0,21.1,3,6-8,5.8,Medium,<30,EE
7,8.06,88.7,91.5,0,19.2,4,6-8,4.2,Low,30-60,ICT
5,6.84,42.1,79.0,3,16.0,2,>8,2.1,High,<30,ICT
1,8.28,82.7,76.6,1,16.0,4,6-8,5.9,Medium,30-60,CE
2,6.58,48.9,65.9,4,9.0,1,>8,8.5,High,>60,IT
5,7.08,56.7,74.8,1,20.6,2,6-8,4.1,Medium,<30,EE
5,8.84,71.2,85.9,0,22.6,4,6-8,5.2,Medium,<30,CE
2,8.33,70.8,83.1,0,19.5,3,6-8,5.1,High,<30,EC
1,6.32,59.0,83.6,4,13.3,2,<6,8.5,Medium,30-60,CE
2,5.21,63.5,74.6,0,16.8,2,>8,6.3,Medium,30-60,EC
6,4.94,38.6,62.9,8,4.7,0,6-8,12.0,High,<30,EC
2,7.53,67.5,68.7,2,21.3,2,<6,9.4,Low,>60,ICT
5,5.35,24.0,66.8,3,3.0,1,6-8,15.8,Low,<30,IT
6,5.51,48.0,69.4,3,12.5,1,<6,12.6,Medium,30-60,CE
3,4.71,51.0,72.5,8,7.4,1,6-8,8.8,Medium,<30,CE
0,7.06,48.7,68.6,-1,15.3,1,6-8,6.1,High,<30,EE
1,7.37,50.7,74.3,1,17.8,3,<6,9.3,Low,<30,IT
2,6.84,56.3,81.0,3,18.0,3,<6,5.4,Medium,30-60,EC
1,5.77,44.1,73.3,4,9.9,3,6-8,10.9,Medium,<30,CE
2,8.02,62.5,96.4,0,26.3,3,<6,11.1,High,>60,EE
4,5.32,78.0,73.0,3,16.6,2,6-8,8.1,Low,>60,EE
0,7.81,47.0,70.1,-1,5.1,2,<6,5.7,Low,>60,EC
0,8.07,62.4,80.6,-1,17.7,3,6-8,8.5,High,30-60,IT
6,8.73,75.1,86.3,0,31.5,5,6-8,3.1,Low,30-60,EE
4,7.42,87.0,70.2,3,16.5,3,<6,6.8,Medium,30-60,CE
7,5.91,63.1,72.4,4,9.5,2,<6,10.0,Medium,30-60,IT
0,9.15,49.2,56.5,-1,4.8,0,>8,14.6,Medium,<30,EC
0,6.24,55.1,73.8,-1,17.8,1,6-8,5.9,Medium,<30,ME
5,7.86,66.3,82.7,1,22.1,3,>8,7.8,High,<30,ME
3,5.84,46.9,76.1,5,12.9,3,6-8,10.7,Low,30-60,ME
7,4.34,33.6,68.1,1,5.2,0,6-8,14.5,Low,>60,ME
6,5.22,63.0,61.5,3,7.1,3,<6,12.2,Low,>60,IT
4,7.57,79.7,89.1,0,23.4,4,<6,1.9,Medium,30-60,ICT
3,7.54,83.8,81.1,0,24.6,5,>8,5.2,Medium,<30,IT
6,5.4,48.5,72.2,6,10.7,1,6-8,6.8,Low,<30,EE
6,6.67,62.6,83.1,3,19.4,3,<6,4.8,High,<30,IT
2,5.63,39.6,66.2,3,7.3,1,<6,15.1,High,<30,EE
5,9.0,72.9,96.7,0,24.3,4,6-8,2.0,Medium,30-60,EE
5,7.48,50.6,77.2,1,13.3,1,6-8,6.5,Medium,30-60,EC
6,7.54,77.2,81.4,1,14.4,3,>8,5.0,High,<30,CE
6,4.61,38.4,71.3,5,3.0,0,>8,15.9,Medium,<30,IT
2,7.0,58.0,71.7,3,18.4,2,>8,6.9,Medium,30-60,CE
6,5.46,52.4,76.5,5,13.2,2,<6,10.6,High,30-60,IT
7,7.69,59.5,67.4,0,23.1,3,6-8,7.4,Medium,>60,ICT
1,7.11,81.9,89.0,3,16.0,2,<6,6.6,Low,>60,ME
4,7.84,68.0,80.2,1,17.5,2,<6,5.3,High,30-60,ME
3,5.37,60.7,62.4,4,11.8,2,6-8,7.3,Low,30-60,ICT
3,7.77,76.9,92.8,1,20.3,2,6-8,2.5,Medium,30-60,ICT
5,6.83,62.3,84.2,2,17.8,2,6-8,5.2,Medium,<30,ME
1,5.91,56.5,52.7,6,11.4,2,<6,8.9,High,<30,ICT
6,5.3,38.1,64.9,6,3.0,0,<6,8.5,High,>60,IT
0,7.84,42.2,75.0,-1,7.5,1,<6,16.0,High,>60,EC
4,6.19,60.0,83.5,3,8.7,2,<6,6.8,Medium,30-60,ICT
2,7.83,79.4,83.0,1,13.0,4,>8,4.5,Low,30-60,ICT
5,6.07,60.4,83.6,4,17.5,2,6-8,7.7,High,>60,ICT
4,6.14,47.2,68.2,4,14.0,3,6-8,8.0,Low,<30,CE
7,7.89,74.0,68.6,2,23.6,4,6-8,5.9,Medium,30-60,ICT
6,5.9,51.3,69.4,7,13.1,2,<6,9.8,Medium,<30,IT
2,7.33,63.6,86.5,2,17.7,3,>8,4.3,Low,<30,ME
4,5.83,52.1,64.5,3,14.0,2,6-8,8.7,Low,>60,EC
2,8.14,70.6,85.0,1,24.1,2,<6,4.0,Low,30-60,IT
5,3.48,50.9,75.8,5,14.8,0,6-8,16.3,Low,<30,ME
3,5.56,55.0,64.7,8,12.5,0,<6,12.1,Low,30-60,ICT
1,5.08,51.4,64.9,8,4.7,1,<6,13.3,Medium,<30,IT
5,6.19,58.1,58.2,3,22.3,2,<6,13.1,High,<30,EE
0,6.88,75.3,86.8,-1,25.7,3,6-8,4.2,Low,>60,CE
2,5.74,46.1,77.8,5,22.8,2,6-8,10.7,Medium,30-60,EC
7,6.14,51.7,65.4,2,7.7,2,>8,10.4,Medium,<30,ME
0,6.79,73.4,88.3,-1,11.9,4,6-8,8.4,Medium,<30,EE
4,8.48,62.2,90.7,1,19.9,5,6-8,1.4,High,>60,IT
6,6.23,62.0,75.4,5,17.6,1,6-8,9.3,Medium,30-60,ME
7,7.69,61.8,100.0,1,18.8,3,<6,5.0,Medium,30-60,EE
4,5.92,54.0,70.2,2,12.3,1,6-8,11.1,Medium,30-60,EC
1,7.57,71.8,75.1,0,16.5,2,6-8,1.4,Medium,>60,EE
7,9.33,75.7,82.8,0,34.5,5,6-8,2.8,Medium,<30,EC
5,7.21,70.8,89.4,2,14.0,3,6-8,13.2,Medium,>60,EC
3,3.89,36.3,59.3,3,4.6,0,6-8,9.8,Low,<30,ICT
2,5.93,60.1,60.5,5,12.0,1,>8,9.0,Medium,>60,ME
0,7.64,58.8,65.4,-1,10.9,2,6-8,9.5,Medium,30-60,ICT
1,7.0,67.4,75.5,3,11.3,1,<6,7.9,Low,<30,CE
6,7.98,74.5,97.5,0,24.3,2,6-8,2.3,Medium,<30,EE
1,6.41,56.4,76.5,0,20.0,3,<6,5.9,Low,<30,EE
1,6.67,40.4,78.6,5,4.8,0,>8,11.8,Medium,<30,ME
1,6.46,57.6,61.3,4,16.1,1,>8,14.1,Medium,<30,CE
3,5.11,36.6,65.7,6,8.0,1,<6,14.8,Low,<30,EE
1,6.93,62.5,78.7,4,13.7,1,<6,5.8,Medium,30-60,IT
7,6.01,54.9,74.0,3,17.4,1,>8,12.4,Low,<30,EC
2,7.99,74.5,77.9,0,24.0,3,>8,8.2,Low,30-60,IT
7,8.85,80.4,100.0,0,21.0,5,<6,0.9,Medium,>60,EC
7,4.7,35.3,55.8,7,3.0,0,6-8,11.2,Low,>60,ICT
6,4.38,29.5,76.8,4,3.8,1,>8,11.2,Medium,<30,IT
0,7.02,58.5,79.1,-1,9.8,2,<6,11.4,High,<30,ICT
2,4.51,43.4,62.3,6,8.7,0,>8,8.7,Low,<30,ME
2,6.03,57.8,74.5,0,8.8,2,>8,6.4,High,>60,CE
4,7.83,58.1,71.3,2,20.3,4,<6,5.6,Low,>60,EC
1,7.91,83.9,80.8,0,23.4,3,6-8,0.0,Low,30-60,ME
0,6.66,58.4,89.7,-1,15.8,4,6-8,8.9,Low,30-60,ME
1,6.29,58.7,67.9,7,20.2,2,6-8,8.1,Medium,>60,IT
2,3.76,39.3,72.5,3,7.1,0,>8,17.8,Low,30-60,EC
0,7.35,61.3,79.4,-1,11.4,2,6-8,7.7,Medium,30-60,CE
1,6.68,57.7,63.6,3,16.9,1,6-8,11.0,Low,30-60,EC
1,6.41,73.4,85.4,1,19.7,4,6-8,7.0,Low,30-60,EE
6,6.42,56.6,68.6,2,9.8,2,6-8,7.3,Medium,30-60,IT
1,6.82,56.7,63.0,2,11.3,0,6-8,4.7,Low,30-60,ME
6,4.54,40.9,52.7,6,9.3,0,6-8,14.2,Low,>60,CE
4,3.8,38.5,60.4,7,3.3,0,6-8,13.8,Low,30-60,EC
6,5.5,41.1,69.2,1,9.8,2,<6,16.1,Medium,30-60,CE
3,4.92,43.9,56.1,3,3.6,1,>8,12.6,High,<30,CE
7,7.21,67.4,78.4,2,16.7,2,6-8,3.8,High,<30,EE
2,5.96,61.1,75.6,5,16.2,0,<6,8.9,Low,>60,IT
6,5.7,57.6,65.3,1,11.5,1,<6,8.5,High,>60,CE
1,5.42,45.6,66.7,5,10.8,0,<6,9.5,Medium,>60,IT
7,2.28,30.6,57.9,8,3.0,0,>8,20.0,High,30-60,ME
0,7.25,84.9,85.8,-1,26.3,2,6-8,1.6,High,30-60,IT
3,5.33,38.2,75.2,6,3.6,1,<6,11.8,Low,<30,CE
3,6.24,59.2,69.6,4,6.8,1,6-8,12.6,Low,<30,ICT
5,5.54,45.1,51.5,5,9.8,0,6-8,9.4,Medium,<30,ICT
3,7.08,80.5,78.1,1,17.6,3,<6,5.1,Medium,>60,EE
4,7.51,70.3,72.3,4,15.3,3,<6,4.8,Low,<30,ICT
6,5.68,50.9,60.9,6,10.2,1,<6,6.0,High,30-60,CE
1,4.29,49.5,64.1,4,15.5,1,6-8,11.4,Medium,30-60,IT
2,9.34,77.6,77.2,0,19.1,5,6-8,7.2,High,30-60,ME
6,6.38,62.6,64.7,1,13.1,3,6-8,7.7,Low,>60,ME
2,7.3,59.2,85.0,0,17.0,2,<6,12.3,Medium,30-60,EE
7,5.18,53.0,62.1,4,13.3,1,6-8,5.8,Low,30-60,EC
4,4.02,45.3,56.3,5,14.8,0,>8,10.1,Medium,<30,ICT
0,8.36,60.1,77.2,-1,19.6,0,<6,10.0,Medium,30-60,ICT
0,5.45,63.4,75.2,-1,15.0,3,6-8,3.6,High,>60,ICT
6,7.54,68.0,95.1,0,24.0,3,6-8,9.5,Medium,30-60,ICT
6,3.21,20.0,52.2,6,5.3,0,6-8,19.9,Medium,<30,IT
2,4.5,44.1,64.7,5,9.8,1,>8,9.9,Medium,<30,ICT
2,6.88,53.1,63.5,0,16.2,1,<6,11.1,High,>60,EC
7,6.19,52.7,76.3,2,7.3,3,6-8,11.7,Low,30-60,EE
5,5.99,63.6,69.3,3,17.3,2,>8,10.2,High,<30,EE
1,4.29,52.8,62.6,3,17.6,0,6-8,7.3,High,<30,CE
3,6.61,64.6,84.1,1,16.3,2,<6,2.5,High,<30,CE
7,4.43,46.3,62.5,8,13.4,0,<6,11.8,High,30-60,ICT
5,7.76,84.5,85.9,2,13.9,5,6-8,5.3,High,30-60,ICT
3,7.48,77.5,94.1,3,14.0,2,6-8,13.1,High,>60,ME
1,6.44,61.4,76.7,2,14.0,2,6-8,6.0,Medium,30-60,IT
5,7.73,79.1,78.7,0,25.0,4,6-8,9.3,Low,>60,CE
2,8.32,82.3,81.6,0,29.3,5,6-8,1.0,Medium,30-60,EC
4,7.85,70.8,87.8,0,23.1,4,<6,0.1,Low,30-60,ICT
4,2.67,31.1,49.2,7,3.0,0,>8,12.8,Medium,<30,ICT
4,7.71,84.8,87.3,0,18.8,4,6-8,3.6,Medium,>60,EE
2,8.08,75.0,73.9,2,13.1,3,<6,5.8,Medium,>60,ICT
5,8.35,86.5,100.0,0,23.6,4,6-8,5.3,Medium,<30,EC
4,8.23,78.7,81.9,1,19.8,4,6-8,5.0,Medium,>60,ME
3,8.41,86.1,89.1,0,21.1,5,6-8,3.9,Medium,<30,EE
0,10.0,89.3,87.4,-1,15.2,3,6-8,2.3,Medium,<30,IT
2,9.64,84.4,80.4,1,16.9,3,6-8,0.0,Medium,30-60,EC
3,8.56,73.5,99.9,0,12.7,4,6-8,-0.0,High,>60,EE
6,6.3,61.9,78.9,0,16.6,1,6-8,5.5,Medium,30-60,EE
4,4.69,36.5,57.9,8,13.4,1,>8,10.0,Low,>60,CE
7,6.14,56.2,70.0,3,15.2,1,6-8,10.2,Medium,30-60,EE
6,7.21,63.7,68.1,1,15.1,2,6-8,10.3,Medium,30-60,IT
4,6.19,59.7,86.5,2,16.0,2,<6,7.7,High,30-60,ICT
1,4.45,49.0,74.5,6,9.6,0,6-8,8.6,High,<30,IT
2,4.48,39.9,57.8,8,5.9,0,<6,14.9,Medium,>60,IT
1,5.83,57.7,69.8,1,14.1,0,6-8,11.9,Low,<30,CE
3,6.79,67.2,78.4,0,13.9,2,6-8,6.1,Low,<30,EC
5,8.34,72.3,86.1,0,21.0,3,6-8,4.0,Low,<30,EC
6,7.57,70.5,71.7,0,22.0,4,<6,6.1,Low,<30,ME
0,6.81,68.5,88.8,-1,28.4,3,6-8,4.7,Medium,<30,ICT
4,6.36,67.1,77.3,5,13.0,2,6-8,12.1,Low,<30,IT
4,5.02,45.1,59.6,1,3.0,0,6-8,5.0,Medium,>60,CE
3,6.34,63.9,62.5,0,12.4,3,<6,10.2,Low,<30,ME
2,5.01,49.1,74.7,4,18.2,1,6-8,8.9,Low,30-60,CE
3,5.77,41.4,58.2,5,15.3,1,>8,9.2,Low,<30,ICT
4,7.18,74.5,71.1,4,14.6,1,<6,1.5,Low,30-60,IT
4,6.54,56.2,72.5,0,17.0,3,<6,8.8,Low,<30,CE
3,7.68,76.7,73.1,1,19.2,4,6-8,2.9,High,30-60,IT
7,6.29,62.1,90.7,4,13.7,2,6-8,10.3,Low,30-60,IT
2,4.31,37.4,57.7,4,3.0,0,<6,15.8,Medium,>60,ICT
7,5.8,52.3,72.8,3,11.5,2,6-8,9.4,Low,30-60,EE
6,6.57,52.7,80.6,5,12.3,1,6-8,4.3,Medium,30-60,EC
3,7.63,84.2,89.0,0,20.0,4,<6,4.9,High,30-60,CE
4,5.44,59.1,64.3,2,10.1,0,6-8,9.7,Low,<30,CE
6,7.47,87.8,70.3,0,14.4,3,6-8,10.6,Medium,30-60,EC
4,6.69,62.6,72.8,2,21.0,3,<6,3.2,Low,<30,ME
5,7.63,60.1,75.6,2,12.2,1,<6,9.0,Low,>60,EE
6,7.05,62.0,77.8,0,23.3,3,<6,8.7,Medium,>60,CE
7,5.75,57.4,69.6,3,7.6,1,<6,12.8,Medium,30-60,CE
2,5.27,35.6,73.8,1,15.3,1,<6,16.2,Low,30-60,ICT
7,6.73,45.8,87.7,2,10.3,4,6-8,4.3,Low,<30,EC
7,5.37,54.1,80.0,6,12.3,2,<6,9.3,Low,30-60,EC
2,7.85,70.1,75.8,2,16.5,2,<6,6.6,High,30-60,IT
4,6.03,46.5,70.9,0,16.1,2,>8,10.3,Low,>60,EE
0,5.01,53.6,77.2,-1,13.0,3,6-8,6.5,High,<30,ICT
1,6.12,59.1,61.5,2,10.5,2,<6,5.0,Medium,<30,EE
4,6.99,56.9,76.5,1,16.5,3,6-8,16.0,Low,30-60,EC
5,6.38,48.6,65.4,2,12.2,2,6-8,10.5,High,<30,CE
4,6.41,59.9,79.2,5,15.4,3,<6,9.4,Medium,30-60,CE
5,6.51,84.6,80.3,3,14.3,3,<6,4.0,Medium,30-60,ME
6,7.56,57.4,65.3,3,16.8,3,<6,5.2,Medium,30-60,CE
1,7.37,60.0,73.9,1,21.9,3,6-8,7.4,Low,<30,EE
5,8.11,81.2,83.5,0,27.9,3,6-8,0.0,Medium,<30,EC
4,5.33,40.9,74.2,7,3.0,0,6-8,12.1,Medium,30-60,CE
1,7.93,57.4,71.2,3,4.3,3,<6,8.7,High,<30,EC
2,4.88,39.7,67.0,4,6.4,0,<6,13.2,High,30-60,EC
3,6.96,62.5,85.1,4,16.4,4,6-8,5.8,High,>60,CE
6,5.01,42.0,60.1,8,16.8,2,<6,7.8,Low,>60,IT
2,5.44,58.8,74.1,1,13.4,2,>8,9.6,High,30-60,EC
1,6.0,54.6,75.2,2,14.7,2,>8,9.2,Medium,<30,CE
5,6.77,45.3,93.8,2,14.7,3,<6,7.4,Medium,>60,ICT
7,5.36,70.6,75.1,6,12.4,1,<6,3.3,Medium,30-60,ME
3,5.27,45.1,65.2,4,13.2,0,>8,9.4,Medium,30-60,EC
3,8.79,67.8,100.0,0,18.8,2,6-8,0.0,High,>60,EE
2,6.05,45.6,81.0,1,16.1,2,6-8,5.1,High,>60,CE
0,8.55,67.5,82.5,-1,5.8,0,<6,7.4,Medium,>60,IT
1,6.54,49.0,78.7,4,18.2,1,6-8,8.3,Low,30-60,ME
0,6.76,64.4,89.2,-1,28.4,4,6-8,0.0,Low,30-60,EE
4,7.04,52.4,87.2,6,15.3,2,>8,9.8,High,<30,ME
7,5.57,56.7,51.0,6,12.9,0,6-8,11.7,Medium,<30,IT
6,5.68,47.8,61.9,5,13.8,0,6-8,11.0,Low,>60,EC
4,6.75,38.1,81.9,2,21.1,3,>8,6.9,Medium,>60,ME
4,5.45,50.7,65.1,4,12.3,1,6-8,10.3,Medium,<30,ME
4,4.95,37.2,52.1,7,5.8,2,6-8,17.3,High,<30,ME
3,5.22,51.7,74.5,8,7.6,0,<6,13.7,Medium,30-60,IT
1,5.4,47.4,69.6,7,10.2,0,6-8,10.4,Low,<30,CE
4,7.73,70.1,73.4,1,16.5,3,>8,7.4,High,30-60,EE
4,4.79,62.5,79.3,3,9.7,1,<6,9.1,Medium,<30,EC
7,6.1,58.3,64.2,5,12.5,1,<6,4.0,Medium,<30,EE
5,8.35,76.5,74.9,0,18.3,3,6-8,0.9,High,<30,IT
6,7.7,79.1,76.7,0,21.1,2,6-8,3.3,High,<30,EE
0,7.19,58.6,83.0,-1,14.3,3,<6,10.0,High,30-60,ICT
6,5.59,43.3,68.1,2,4.5,0,>8,6.1,Low,30-60,ME
7,5.93,38.2,67.1,4,5.8,1,<6,11.0,Low,<30,CE
5,7.43,88.3,90.7,0,26.6,2,<6,3.9,Medium,>60,CE
5,6.19,75.5,74.4,2,9.0,3,<6,6.0,Low,<30,ICT
7,5.66,41.5,76.3,2,14.7,2,6-8,9.8,Low,<30,IT
3,5.65,45.0,70.3,1,9.2,2,<6,10.9,Low,<30,ME
6,5.04,53.1,68.4,4,11.6,0,6-8,10.6,High,>60,EE
3,5.61,65.9,85.6,2,17.1,2,<6,13.3,Low,<30,IT
3,4.68,46.3,53.1,4,6.2,0,6-8,12.0,Medium,30-60,EC
5,6.62,64.0,85.1,1,22.5,2,<6,7.7,Low,>60,CE
2,5.67,50.7,79.9,5,14.5,2,<6,13.4,Low,>60,CE
7,6.68,67.2,84.6,3,12.5,1,6-8,2.3,Medium,>60,EE
2,5.93,44.7,61.6,5,5.1,1,<6,17.1,Medium,30-60,EE
1,7.12,56.0,64.5,3,11.5,2,>8,6.6,Medium,<30,IT
2,6.77,48.0,65.7,3,10.7,1,<6,9.4,Low,<30,EC
6,6.31,66.6,84.7,6,16.1,2,>8,5.8,High,<30,CE
2,7.77,78.8,81.6,0,26.7,3,>8,8.7,Low,30-60,ME
4,6.97,59.2,89.7,4,8.6,4,6-8,11.2,Low,>60,EC
7,5.8,54.9,61.3,7,4.2,1,<6,15.3,Low,>60,ME
2,5.91,50.6,66.0,6,7.7,1,<6,3.3,Medium,30-60,EE
1,7.21,52.6,81.1,1,19.3,3,6-8,9.5,High,30-60,EC
0,6.15,80.7,79.1,-1,21.8,5,>8,6.6,Medium,<30,ME
3,5.64,88.9,78.2,5,16.1,2,6-8,8.7,Medium,<30,ME
1,7.35,58.4,85.5,1,13.1,3,<6,7.0,Medium,<30,EC
3,7.96,70.7,79.0,1,21.1,3,>8,4.4,Medium,<30,CE
6,7.77,72.3,96.3,0,27.3,4,6-8,3.4,Low,>60,EC
6,4.3,46.8,53.3,7,3.0,0,>8,13.1,High,<30,EC
4,7.57,69.2,84.4,3,14.0,2,6-8,8.5,Low,<30,IT
6,7.84,78.0,91.3,1,26.7,3,<6,2.3,High,<30,ICT
1,4.19,29.5,60.8,3,10.1,0,6-8,14.2,Low,30-60,EC
4,4.53,46.0,85.9,4,8.8,2,<6,10.6,Low,>60,ICT
1,4.79,36.6,72.0,3,13.5,0,<6,8.2,Medium,30-60,EC
4,5.68,47.4,73.8,2,7.2,0,<6,10.8,Medium,30-60,EE
3,5.49,56.2,68.0,5,13.0,1,6-8,2.3,Medium,<30,CE
2,6.66,66.6,73.3,5,14.6,0,<6,8.2,Medium,>60,EE
6,7.44,71.0,84.8,5,20.5,4,>8,8.9,Medium,<30,EE
2,7.57,76.9,74.0,3,22.3,4,>8,8.6,Medium,>60,EC
4,5.58,46.0,64.2,0,13.7,1,<6,14.3,High,<30,IT
4,4.96,39.0,79.8,4,4.5,1,<6,11.3,Low,30-60,ICT
3,8.42,76.9,88.1,0,26.8,3,6-8,8.8,Medium,<30,ICT
0,8.73,66.9,69.9,-1,16.3,2,6-8,4.7,Low,30-60,ME
5,6.69,74.9,80.8,4,14.8,2,<6,9.6,Low,30-60,IT
0,7.08,75.0,70.9,-1,22.2,2,>8,5.3,Low,30-60,CE
6,6.21,69.1,69.3,1,21.3,3,6-8,7.2,Medium,<30,EE
2,7.09,61.4,76.5,2,19.6,1,<6,5.3,Low,30-60,IT
1,5.93,56.1,73.1,2,12.4,2,<6,8.6,High,<30,EC
3,6.94,66.2,84.8,1,18.0,3,<6,8.7,High,30-60,IT
4,4.85,33.8,64.3,5,7.2,0,<6,14.0,Medium,<30,CE
2,4.36,42.6,67.3,5,10.1,0,6-8,8.8,Medium,<30,EC
1,5.96,45.9,57.6,3,13.1,1,6-8,6.4,High,30-60,ICT
0,7.82,49.2,73.3,-1,16.5,1,<6,7.4,Medium,<30,ICT
5,5.39,53.1,73.0,5,15.5,0,6-8,6.7,Medium,<30,EE
7,6.1,56.3,64.9,3,11.6,0,<6,8.9,Low,>60,ICT
1,4.92,41.5,67.9,8,5.3,0,6-8,12.4,Low,30-60,ME
2,6.32,67.5,74.9,1,13.6,1,<6,9.4,Medium,>60,IT
0,6.95,58.2,73.2,-1,12.4,2,<6,6.4,Medium,30-60,EE
7,4.6,36.6,65.6,5,6.2,0,>8,9.4,High,<30,EE
3,4.74,46.7,60.0,4,9.0,0,<6,11.6,Low,30-60,ME
7,6.72,49.4,66.8,1,14.5,3,6-8,4.9,Medium,30-60,EC
3,5.56,51.3,71.7,4,13.8,2,6-8,9.9,Medium,30-60,ICT
