semesters_completed,cpi,internal_marks_percentage,attendance_percentage,total_backlogs,study_hours_weekly,pyq_solving_frequency,sleep_category,gaming_hours_weekly,extra_curricular_level,travel_time_category,department,performance_score,performance_category
6,4.64,31.1,52.8,4,16.6,1,6-8,12.8,High,<30,IT,35.22,At Risk
7,4.55,45.9,55.8,7,9.0,0,<6,10.8,Medium,<30,IT,28.83,At Risk
5,6.96,70.1,79.0,3,17.3,4,<6,10.8,Low,30-60,ME,59.28,Good
2,5.66,63.6,66.7,5,16.8,1,6-8,13.4,Low,<30,EE,45.66,Average
5,5.77,63.4,81.1,3,13.0,2,6-8,9.1,Medium,30-60,CE,55.94,Average
1,7.38,66.5,91.7,1,14.1,5,6-8,6.5,Medium,<30,EC,74.92,Good
1,3.63,30.2,56.0,7,7.3,0,<6,17.1,High,<30,CE,20.31,At Risk
6,5.41,59.6,76.3,6,13.9,2,6-8,8.1,Low,30-60,EC,46.0,Average
7,6.37,58.8,60.8,2,15.6,0,6-8,5.4,Low,30-60,EC,49.1,Average
0,8.69,38.0,60.3,-1,3.0,0,<6,12.1,Medium,30-60,EC,50.7,Average
2,8.5,68.6,79.5,0,24.3,5,6-8,1.1,High,<30,EC,79.45,Excellent
5,4.71,56.0,65.8,5,13.2,1,<6,10.9,High,30-60,ME,37.64,Below Average
7,6.35,46.6,78.5,5,11.8,1,<6,4.2,Medium,<30,ICT,48.72,Average
4,7.75,66.7,83.7,1,25.1,2,<6,0.9,Low,>60,CE,65.97,Good
6,7.01,77.6,83.7,1,21.1,2,<6,3.0,Low,30-60,CE,65.44,Good
7,5.1,31.8,65.9,4,14.3,3,>8,5.6,High,30-60,EE,42.17,Below Average
4,6.99,64.3,76.8,0,19.6,3,6-8,3.4,Medium,30-60,EC,68.22,Good
5,6.87,53.2,70.3,3,14.4,2,<6,9.4,Medium,<30,CE,53.36,Average
5,9.14,88.4,97.7,0,20.0,5,6-8,0.7,Medium,<30,EE,90.6,Excellent
5,6.88,70.0,71.1,1,19.6,4,<6,3.1,Low,>60,EC,61.01,Good
4,6.77,60.0,71.0,2,18.3,3,6-8,10.2,High,<30,ICT,59.92,Good
5,5.93,42.3,71.5,2,7.7,2,<6,7.1,Medium,30-60,EE,48.1,Average
4,6.02,45.1,65.1,1,15.1,0,<6,8.0,Medium,30-60,EC,47.32,Average
5,5.44,46.7,77.0,3,16.9,2,<6,11.0,Low,<30,IT,48.15,Average
4,8.15,77.2,89.8,0,27.1,3,6-8,5.2,High,<30,CE,79.82,Excellent
2,5.98,74.5,67.6,6,19.7,3,<6,6.1,Medium,<30,EE,51.81,Average
5,6.53,62.7,84.9,4,28.1,3,6-8,5.6,Low,30-60,ME,61.76,Good
3,7.36,85.8,82.5,0,23.1,4,6-8,2.5,Medium,30-60,CE,77.42,Excellent
1,3.11,27.5,53.3,3,10.0,0,>8,11.9,Low,<30,EE,26.66,At Risk
6,7.9,62.5,76.7,0,20.3,4,>8,0.0,High,30-60,EE,70.75,Good
1,6.17,72.2,89.5,8,18.4,2,6-8,7.6,Medium,<30,ICT,55.72,Average
4,6.27,67.4,71.0,2,11.4,3,<6,5.6,Medium,<30,ICT,57.49,Average
5,6.23,57.8,69.7,5,10.0,1,6-8,9.5,Medium,>60,CE,45.72,Average
5,5.67,53.9,65.8,3,7.4,1,6-8,12.7,Low,<30,EC,45.0,Average
1,5.41,74.7,86.2,2,17.5,4,<6,6.7,Medium,<30,CE,63.51,Good
1,9.55,94.0,100.0,0,26.0,4,6-8,0.0,Medium,30-60,EC,92.36,Excellent
1,8.29,77.8,84.8,2,21.4,3,6-8,8.3,Medium,<30,EC,74.32,Good
0,9.26,70.6,77.4,-1,23.7,4,>8,2.1,Medium,<30,ICT,79.48,Excellent
2,6.23,59.8,82.9,0,9.7,2,>8,5.2,High,<30,ICT,61.55,Good
4,5.63,57.2,69.9,4,7.1,0,<6,15.5,Medium,<30,ICT,42.13,Below Average
1,5.71,53.4,70.9,2,10.6,0,6-8,11.4,Low,30-60,IT,46.58,Average
7,5.66,49.8,76.2,6,11.3,1,<6,7.0,Low,<30,EE,41.97,Below Average
5,4.5,36.8,56.6,6,4.8,0,<6,12.7,High,<30,ME,26.48,At Risk
4,5.42,57.0,71.1,4,12.1,2,>8,4.7,Medium,>60,ME,47.04,Average
5,5.37,60.4,61.2,2,10.4,0,>8,12.6,High,30-60,EE,42.96,Below Average
3,6.94,57.1,73.9,1,14.8,3,<6,7.9,Low,30-60,EC,57.42,Average
3,7.0,61.2,87.5,2,23.5,2,6-8,8.9,Low,<30,CE,65.22,Good
7,7.1,70.2,77.5,3,13.9,3,6-8,6.6,Low,<30,EC,61.88,Good
5,6.62,54.3,76.1,1,18.0,2,6-8,4.1,Medium,30-60,EC,61.34,Good
4,5.92,51.0,89.8,3,11.4,0,6-8,15.3,High,<30,ICT,52.42,Average
7,4.57,25.5,71.6,4,3.7,0,<6,13.6,High,>60,EE,29.56,At Risk
5,5.7,52.9,56.0,2,10.2,1,>8,7.6,Medium,30-60,ICT,44.78,Average
3,4.78,52.8,63.7,4,11.2,2,<6,13.0,Medium,>60,IT,38.6,Below Average
0,7.46,53.2,62.7,-1,13.8,3,6-8,9.6,High,30-60,CE,59.43,Good
3,7.44,63.8,84.8,1,18.3,2,<6,5.4,High,<30,ME,65.69,Good
7,7.61,65.9,80.7,0,16.5,3,6-8,2.4,Medium,30-60,CE,71.08,Good
0,5.4,73.7,85.7,-1,18.4,3,<6,4.3,Low,<30,IT,63.98,Good
1,5.41,60.4,67.7,1,9.9,2,<6,7.6,High,30-60,EC,49.5,Average
6,5.58,57.7,79.7,4,8.2,2,>8,13.3,Low,30-60,CE,46.79,Average
3,5.38,64.5,71.7,1,10.1,0,>8,15.4,Medium,30-60,IT,49.05,Average
1,5.95,47.7,67.7,7,11.1,0,<6,18.2,Low,<30,ICT,34.05,At Risk
6,7.31,57.7,85.2,1,14.6,4,6-8,5.6,Medium,30-60,ME,68.64,Good
4,6.16,51.8,77.2,3,15.3,1,6-8,4.5,Medium,>60,ICT,52.72,Average
4,5.33,37.2,62.7,3,3.0,0,<6,11.0,Low,<30,IT,35.32,At Risk
2,5.84,47.1,60.6,2,8.2,0,6-8,7.8,Low,<30,EE,44.34,Average
5,5.35,47.1,76.2,8,7.5,1,<6,11.4,High,<30,ME,35.94,At Risk
6,6.46,60.9,78.7,4,12.5,2,<6,5.2,Medium,<30,CE,54.76,Average
6,8.12,74.6,80.4,0,18.4,4,6-8,2.2,Medium,>60,EE,74.7,Good
4,6.44,63.5,69.7,3,7.2,1,6-8,10.0,Low,30-60,EC,49.45,Average
3,3.93,27.7,65.4,8,3.0,0,6-8,16.4,Low,<30,ICT,22.82,At Risk
6,6.42,62.7,61.5,2,18.0,2,6-8,5.2,Low,<30,ICT,55.14,Average
4,6.52,48.3,78.2,1,10.3,4,<6,7.2,Low,30-60,ICT,56.42,Average
7,6.26,61.2,70.6,3,17.6,2,<6,8.4,High,<30,EE,52.86,Average
2,5.2,42.9,64.8,4,14.4,2,>8,10.8,Low,<30,ICT,41.97,Below Average
5,6.89,48.9,75.1,3,16.5,2,6-8,2.4,Medium,<30,CE,58.88,Average
7,6.0,55.6,77.9,3,16.8,3,>8,9.1,Low,<30,EC,54.9,Average
3,6.12,57.7,92.2,2,16.2,1,6-8,7.6,Medium,<30,EC,62.25,Good
7,7.04,75.2,74.7,4,18.3,2,6-8,7.7,High,30-60,EC,58.78,Average
3,6.06,63.6,69.9,1,5.4,2,6-8,5.9,Medium,>60,ME,54.34,Average
3,5.73,55.1,74.4,3,16.1,2,6-8,5.9,Low,<30,ME,53.27,Average
6,8.54,69.0,87.9,0,23.6,4,6-8,3.8,Medium,<30,IT,81.06,Excellent
2,6.84,62.6,72.6,2,18.7,3,6-8,5.4,Low,<30,IT,61.46,Good
5,7.37,81.0,83.8,0,14.6,3,6-8,3.8,Medium,>60,ME,71.72,Good
2,6.93,70.6,88.8,0,10.6,2,6-8,4.6,Medium,30-60,ICT,68.8,Good
4,7.66,73.0,69.4,3,25.4,3,6-8,9.8,Low,30-60,ME,62.38,Good
6,6.98,84.2,76.9,0,16.7,3,<6,4.1,Low,<30,EC,67.64,Good
0,8.01,34.3,44.9,-1,7.0,2,6-8,9.2,Medium,<30,ME,51.79,Average
0,6.72,64.6,75.1,-1,19.1,2,6-8,8.3,Low,<30,ME,63.62,Good
7,6.9,63.9,78.6,4,14.1,2,6-8,9.0,High,<30,IT,57.62,Average
6,7.9,86.4,91.8,0,25.2,4,6-8,8.0,Low,30-60,ME,79.38,Excellent
6,7.78,75.4,78.5,0,23.3,3,6-8,4.2,Low,30-60,IT,71.93,Good
3,6.43,56.0,64.5,4,10.2,1,6-8,8.6,High,<30,EE,48.08,Average
5,7.61,72.3,73.6,1,12.8,4,6-8,8.5,Medium,<30,ME,68.8,Good
7,6.99,61.9,74.0,5,20.3,2,6-8,12.3,Low,>60,CE,51.6,Average
3,6.91,64.0,64.9,3,10.0,3,6-8,7.3,Medium,<30,IT,57.13,Average
6,5.26,54.1,60.0,3,12.4,1,6-8,9.6,High,30-60,CE,43.39,Average
0,7.51,79.5,76.8,-1,16.1,0,<6,6.4,Medium,30-60,ICT,63.88,Good
4,6.5,60.6,77.5,5,18.2,2,<6,11.6,High,<30,IT,51.58,Average
2,7.2,55.9,82.3,0,18.1,3,<6,4.7,Low,<30,CE,65.3,Good
4,5.59,60.2,70.1,3,7.7,0,6-8,12.8,Medium,<30,EE,47.68,Average
1,5.56,58.1,70.0,2,12.0,2,<6,8.9,Medium,30-60,ICT,49.89,Average
3,7.29,66.3,84.3,0,18.8,3,<6,3.4,Medium,30-60,EE,69.02,Good
0,7.95,44.6,74.0,-1,14.6,1,>8,13.6,Low,30-60,ICT,57.14,Average
3,5.11,49.4,63.9,7,14.1,2,6-8,12.4,Low,<30,ME,38.19,Below Average
3,6.95,63.8,60.4,6,14.9,2,6-8,13.0,Low,30-60,EE,45.76,Average
2,5.02,56.1,73.9,7,9.3,1,6-8,8.6,High,>60,ME,38.4,Below Average
7,5.43,47.6,65.4,3,7.3,1,<6,14.4,Medium,<30,CE,41.97,Below Average
0,7.88,49.9,64.2,-1,12.6,2,<6,6.5,Low,>60,EC,54.76,Average
6,4.73,51.3,64.1,3,12.1,0,6-8,14.4,Low,<30,ICT,40.4,Below Average
3,4.74,45.6,65.7,3,5.5,1,<6,10.7,Medium,30-60,IT,38.58,Below Average
1,8.16,79.9,98.6,0,24.8,4,6-8,0.0,Low,30-60,IT,82.91,Excellent
2,8.06,52.5,90.7,0,21.4,3,6-8,8.1,High,<30,ME,73.44,Good
7,6.35,44.5,54.0,3,12.9,1,<6,10.9,Medium,<30,ME,43.01,Average
6,7.25,59.6,86.7,2,12.7,1,<6,2.6,Low,>60,IT,57.39,Average
0,8.38,50.8,73.6,-1,12.4,1,6-8,4.2,Low,30-60,EC,62.35,Good
1,9.14,56.0,74.6,1,17.8,3,<6,7.7,High,30-60,IT,65.94,Good
5,6.56,60.0,66.5,3,15.5,1,6-8,4.4,Medium,>60,ICT,52.17,Average
2,8.44,72.9,80.1,0,24.7,3,<6,11.0,High,>60,ME,69.69,Good
7,3.83,20.0,58.5,6,7.4,0,6-8,15.7,High,>60,ME,21.84,At Risk
6,4.58,36.5,66.1,6,11.1,1,<6,13.5,High,>60,ICT,29.7,At Risk
6,6.81,73.3,74.7,2,16.5,2,6-8,6.9,Medium,<30,ME,63.43,Good
1,7.51,61.8,95.8,2,22.3,2,<6,6.2,Medium,<30,CE,69.15,Good
1,5.48,44.2,47.8,1,20.1,0,6-8,12.0,Medium,30-60,EC,43.07,Average
7,6.42,63.7,77.0,0,8.8,2,6-8,7.7,Low,<30,CE,60.66,Good
3,6.1,41.1,61.1,1,11.4,1,6-8,10.4,Low,30-60,EC,46.29,Average
3,5.69,43.2,70.0,1,7.8,2,<6,10.2,Medium,30-60,EC,48.09,Average
5,7.6,86.9,69.0,0,24.1,1,<6,4.1,Low,<30,EC,66.51,Good
3,8.15,63.6,87.9,1,17.2,2,>8,4.3,Medium,30-60,EC,69.82,Good
6,5.2,61.5,64.0,5,12.8,1,6-8,11.0,Low,30-60,EC,41.19,Below Average
7,5.01,36.4,75.5,8,8.4,1,<6,11.9,Low,>60,ME,29.32,At Risk
2,5.82,59.0,89.0,4,5.9,1,<6,4.0,Medium,30-60,ME,51.36,Average
1,7.74,56.9,76.7,4,12.4,2,>8,9.1,Low,<30,CE,55.87,Average
0,7.62,55.1,77.6,-1,8.8,1,<6,8.5,High,30-60,ICT,58.3,Average
2,8.54,60.0,91.8,0,19.8,2,<6,2.0,High,30-60,ICT,72.13,Good
1,7.23,60.6,69.8,2,20.4,2,>8,2.2,Medium,<30,ICT,61.8,Good
0,7.98,80.7,84.2,-1,19.6,2,<6,5.2,Medium,30-60,IT,71.95,Good
0,8.03,38.7,74.7,-1,12.6,1,<6,13.0,Low,30-60,EE,54.93,Average
4,8.59,70.1,76.4,0,26.4,3,>8,5.6,Low,<30,EE,73.44,Good
5,2.51,20.0,55.8,6,3.0,0,>8,14.5,Low,>60,IT,13.93,At Risk
7,7.6,59.1,77.1,1,18.5,3,6-8,4.0,High,>60,IT,64.67,Good
1,7.76,79.0,82.2,1,11.8,4,6-8,4.7,Low,30-60,EE,70.38,Good
5,5.8,66.5,64.6,1,15.8,2,>8,12.2,Medium,30-60,ME,53.64,Average
4,8.26,72.0,81.7,0,15.7,4,6-8,2.4,Low,30-60,ICT,73.81,Good
3,6.32,53.8,71.0,2,20.8,2,6-8,7.7,Medium,30-60,CE,56.89,Average
5,6.63,66.2,69.0,2,13.0,2,6-8,7.9,Medium,<30,ME,58.77,Average
2,6.94,56.5,75.3,1,15.8,2,6-8,7.1,Low,30-60,ICT,59.29,Good
2,10.0,98.1,96.2,1,35.3,5,6-8,0.0,Low,30-60,ME,93.45,Excellent
3,7.72,90.2,100.0,0,17.6,5,<6,5.7,Medium,>60,CE,80.08,Excellent
1,7.3,68.7,85.5,1,11.6,3,6-8,2.9,High,30-60,IT,67.89,Good
3,6.88,41.7,71.8,5,11.2,1,6-8,16.5,Low,<30,CE,45.12,Average
1,6.29,62.5,87.3,1,13.1,3,<6,7.0,Medium,<30,EE,63.56,Good
2,6.22,61.9,64.0,4,12.2,1,<6,13.1,Medium,<30,CE,46.28,Average
1,7.98,72.7,83.0,0,18.4,2,<6,1.9,High,<30,IT,70.93,Good
0,6.64,55.1,71.5,-1,12.5,2,<6,0.6,High,30-60,ICT,57.59,Average
3,5.45,49.6,83.7,7,9.8,0,>8,18.5,High,<30,ME,39.48,Below Average
4,6.64,55.9,80.9,1,13.9,2,6-8,4.6,High,<30,ICT,62.29,Good
1,5.7,39.2,62.8,4,9.4,2,<6,10.7,High,30-60,ICT,39.19,Below Average
7,6.92,62.5,69.6,3,22.6,2,<6,8.3,High,30-60,CE,54.73,Average
2,5.76,48.5,68.9,3,16.0,0,<6,11.7,High,30-60,CE,43.07,Average
0,7.39,51.1,83.2,-1,11.6,2,<6,8.3,Medium,<30,ICT,63.33,Good
0,7.29,59.5,85.9,-1,17.6,3,6-8,7.5,Low,30-60,EE,67.74,Good
5,6.52,65.1,76.1,7,21.8,2,6-8,7.2,Low,<30,IT,52.2,Average
5,5.95,48.5,80.0,4,10.2,2,<6,7.9,Medium,30-60,IT,48.83,Average
7,6.76,68.1,69.6,3,13.9,2,<6,8.9,Medium,<30,CE,55.37,Average
0,6.17,70.1,72.6,-1,18.3,2,6-8,8.3,High,>60,ME,59.94,Good
3,4.58,21.8,65.7,0,12.0,0,6-8,13.0,Medium,<30,CE,42.75,Below Average
7,6.35,69.5,75.6,4,15.3,2,6-8,6.9,Low,>60,EE,53.14,Average
6,7.98,83.5,77.7,0,22.1,4,6-8,4.4,High,30-60,EC,75.68,Good
2,6.68,80.7,85.3,1,22.1,3,6-8,9.0,Low,>60,IT,66.99,Good
7,6.63,58.9,87.2,5,13.0,3,<6,6.8,Medium,>60,ME,54.29,Average
5,6.67,62.6,86.7,0,21.6,3,6-8,11.7,Medium,<30,IT,69.94,Good
2,6.38,53.3,74.1,1,17.4,2,6-8,7.6,Medium,30-60,EC,58.85,Average
0,7.76,59.1,75.9,-1,17.8,2,6-8,6.5,Medium,<30,IT,68.18,Good
4,4.28,47.8,55.3,4,3.0,0,<6,13.1,High,<30,ME,30.21,At Risk
5,4.76,64.2,68.2,8,9.5,0,6-8,11.2,Medium,30-60,ICT,35.97,At Risk
2,7.93,76.2,86.9,0,20.1,2,6-8,4.8,Medium,<30,CE,76.03,Excellent
1,4.72,55.1,71.3,3,11.1,0,>8,12.6,High,<30,ME,42.95,Below Average
0,7.22,68.1,75.6,-1,14.7,3,<6,8.3,Low,30-60,CE,62.34,Good
6,5.36,58.5,76.2,5,19.3,2,<6,10.5,Medium,<30,EC,48.89,Average
0,7.11,49.8,69.5,-1,9.4,0,<6,12.2,High,30-60,ICT,51.12,Average
4,6.88,85.7,80.4,2,18.1,2,6-8,12.2,Medium,<30,EC,66.73,Good
6,6.68,66.3,84.4,2,18.1,2,6-8,0.5,Low,30-60,IT,63.35,Good
6,9.33,95.7,81.6,0,25.9,3,6-8,6.4,High,<30,ME,83.6,Excellent
5,6.58,54.3,77.7,7,14.6,1,6-8,10.6,Medium,30-60,EE,47.49,Average
5,7.91,76.9,91.2,0,16.6,5,6-8,0.0,Medium,<30,EC,82.08,Excellent
3,6.91,58.9,70.5,1,12.4,2,<6,4.7,Medium,30-60,EE,57.19,Average
3,5.54,45.8,70.8,6,17.3,0,6-8,11.1,Medium,30-60,ICT,41.47,Below Average
1,7.77,71.3,69.7,4,17.4,3,6-8,9.5,Low,30-60,ICT,58.85,Average
4,7.49,58.7,73.3,0,24.8,2,<6,6.0,Low,30-60,IT,62.43,Good
0,6.26,56.0,82.9,-1,6.6,3,6-8,8.5,High,<30,EE,62.22,Good
3,5.66,72.5,65.4,2,19.5,2,>8,9.0,Medium,30-60,ICT,54.43,Average
5,6.38,60.1,77.0,8,10.7,2,<6,12.2,Low,<30,ICT,42.91,Below Average
3,5.87,48.1,66.0,5,3.0,1,6-8,8.7,High,30-60,CE,40.48,Below Average
4,7.68,61.1,70.8,0,22.0,3,6-8,10.5,Low,>60,CE,63.61,Good
6,5.93,72.4,61.7,0,11.6,2,6-8,13.0,Low,>60,ME,52.64,Average
5,5.9,62.0,77.1,1,8.9,2,>8,9.9,Medium,30-60,IT,55.82,Average
1,6.63,65.1,82.2,0,13.8,1,6-8,7.2,High,>60,IT,61.11,Good
4,6.92,55.1,67.1,3,11.1,2,<6,5.2,Medium,<30,CE,53.0,Average
3,4.1,35.9,67.6,4,10.4,1,<6,10.6,Low,<30,EC,34.46,At Risk
1,8.54,82.3,81.4,0,23.2,4,6-8,0.2,High,<30,ICT,80.99,Excellent
5,7.51,65.8,79.0,1,10.6,2,>8,10.8,Medium,>60,IT,60.92,Good
3,5.62,68.7,62.3,4,20.5,2,>8,8.1,Medium,>60,EC,48.3,Average
6,6.95,63.2,83.1,1,13.9,3,6-8,3.8,Low,30-60,EC,64.65,Good
4,6.02,49.9,68.7,2,10.5,2,>8,5.9,Low,<30,ME,50.56,Average
1,7.31,63.3,67.3,1,14.2,5,6-8,2.1,Medium,>60,EE,64.9,Good
3,6.04,66.5,83.2,1,22.9,2,<6,3.5,Medium,30-60,IT,62.62,Good
2,7.13,69.2,87.3,1,27.9,4,6-8,7.6,Low,30-60,EC,71.66,Good
1,6.68,90.4,88.0,0,12.9,4,<6,4.3,Low,30-60,IT,70.28,Good
6,8.3,64.2,67.8,0,16.7,4,6-8,5.4,Medium,>60,CE,68.42,Good
3,5.23,63.0,72.2,3,19.0,1,>8,5.9,Medium,30-60,EE,50.92,Average
4,4.94,52.0,65.6,5,5.4,0,6-8,8.1,Low,<30,EE,37.95,Below Average
7,8.83,84.2,83.7,0,23.0,3,<6,5.4,Medium,<30,EC,78.72,Excellent
4,6.61,61.2,85.4,7,18.9,1,<6,11.1,Low,<30,ICT,48.97,Average
2,6.73,51.8,68.0,0,6.9,2,<6,14.3,High,>60,EC,50.27,Average
6,4.61,40.3,72.7,3,10.2,0,<6,17.1,Low,<30,EE,37.08,Below Average
3,7.48,57.1,85.5,3,19.2,2,6-8,5.8,Medium,<30,IT,65.24,Good
4,6.82,58.1,80.6,5,13.3,2,>8,9.0,Medium,30-60,ME,53.48,Average
7,4.46,44.0,73.4,6,8.8,0,6-8,15.1,High,>60,IT,33.03,At Risk
4,6.51,66.8,75.7,2,21.3,3,<6,4.0,Low,30-60,CE,59.11,Good
2,6.62,51.5,68.8,4,11.2,2,6-8,11.2,Medium,<30,ME,51.46,Average
5,9.53,71.0,94.5,0,33.8,5,6-8,0.0,Medium,<30,CE,91.44,Excellent
1,6.17,52.8,70.0,5,5.7,0,>8,7.7,Medium,<30,IT,44.1,Average
7,5.78,43.7,71.6,1,8.6,2,<6,12.6,Low,>60,ICT,45.27,Average
7,5.22,52.1,69.8,2,13.0,1,>8,5.0,Medium,>60,ME,47.31,Average
4,7.95,86.4,83.4,0,23.3,4,>8,5.3,Low,30-60,CE,75.81,Good
1,6.5,79.1,62.0,4,13.3,1,<6,8.7,Medium,<30,ICT,50.81,Average
3,5.54,43.1,58.2,4,16.8,2,6-8,9.7,Low,30-60,ME,41.8,Below Average
3,6.91,77.8,81.5,1,15.4,3,<6,5.3,High,>60,IT,63.45,Good
2,5.76,44.9,58.9,2,8.6,1,6-8,12.9,High,30-60,ICT,43.03,Average
1,7.06,69.3,72.0,2,24.0,2,<6,5.9,High,<30,ICT,61.1,Good
2,9.12,79.0,86.8,0,24.8,5,6-8,1.7,Medium,30-60,EC,85.14,Excellent
4,7.17,74.5,84.2,1,12.8,2,>8,0.9,Medium,30-60,ICT,67.19,Good
5,7.51,52.8,77.7,0,17.9,4,6-8,6.0,Medium,30-60,EE,68.58,Good
7,7.59,73.6,81.6,1,17.1,2,6-8,5.8,Low,30-60,EE,66.85,Good
2,8.91,81.1,81.5,0,19.0,4,6-8,2.6,Medium,>60,CE,78.69,Excellent
1,8.12,79.7,85.8,0,18.1,4,>8,3.6,Low,>60,CE,73.62,Good
1,7.38,54.4,79.9,1,24.5,2,<6,10.6,Low,<30,ICT,61.89,Good
7,6.93,83.7,69.2,1,15.6,4,>8,2.9,Medium,30-60,ME,66.62,Good
3,6.06,47.6,55.2,2,6.8,1,>8,7.8,Medium,30-60,EE,43.84,Average
7,7.43,70.6,87.1,1,19.6,4,6-8,6.5,Low,<30,EE,72.33,Good
7,5.38,43.6,71.0,4,9.0,1,>8,17.1,High,<30,EC,41.1,Below Average
0,8.23,70.1,83.9,-1,14.2,2,6-8,9.2,Medium,<30,IT,72.49,Good
2,3.44,20.9,48.6,6,3.0,0,>8,16.2,Medium,>60,EE,16.32,At Risk
2,7.77,77.6,96.5,2,11.2,3,<6,7.1,Low,<30,IT,69.45,Good
2,5.31,54.0,69.7,2,10.4,1,<6,14.2,Medium,>60,EE,43.82,Average
3,7.95,79.7,91.9,1,28.1,2,>8,3.6,Low,30-60,ICT,74.17,Good
4,5.85,70.0,69.4,2,16.7,2,6-8,11.0,Low,>60,CE,52.62,Average
6,7.66,68.4,78.9,0,26.6,4,6-8,6.2,Medium,30-60,EE,74.25,Good
2,4.54,55.2,59.1,3,3.0,0,6-8,12.9,Low,30-60,CE,35.62,At Risk
2,8.75,70.8,88.4,0,22.3,3,6-8,7.0,Medium,30-60,ICT,78.25,Excellent
4,9.09,90.2,93.6,0,25.0,3,6-8,0.0,Low,<30,ME,86.01,Excellent
1,8.93,49.9,77.4,1,18.2,3,6-8,6.9,Medium,<30,EC,70.46,Good
3,7.37,66.8,77.1,1,24.1,4,6-8,8.5,High,<30,CE,69.9,Good
2,6.24,56.7,80.1,0,13.8,2,6-8,8.7,Low,>60,CE,58.1,Average
1,5.51,58.5,67.2,3,9.9,2,>8,7.7,Medium,30-60,ME,48.25,Average
6,6.73,56.2,80.3,1,25.1,4,<6,2.4,Low,30-60,EC,63.91,Good
5,5.41,30.7,65.6,5,8.4,2,<6,12.6,Low,30-60,EC,34.43,At Risk
2,5.49,53.5,80.7,6,23.5,2,<6,10.1,Medium,30-60,ME,47.85,Average
3,3.84,53.0,58.6,2,3.0,0,>8,14.0,Medium,<30,EE,36.41,Below Average
1,3.87,63.5,61.9,5,12.0,1,>8,13.8,High,30-60,EC,35.43,At Risk
0,6.75,68.9,75.2,-1,14.1,3,6-8,7.2,High,30-60,EE,64.41,Good
4,7.62,70.5,83.6,3,15.5,5,<6,9.6,Medium,>60,EC,64.68,Good
3,6.74,64.1,78.8,2,9.3,0,6-8,10.9,Low,<30,CE,55.25,Average
1,6.39,60.0,80.4,1,18.3,2,<6,4.4,Medium,30-60,EC,60.36,Good
1,4.38,36.6,64.3,4,4.6,0,6-8,16.4,High,<30,EC,33.58,At Risk
5,6.3,59.7,69.4,4,21.4,3,>8,11.5,Low,>60,EC,50.03,Average
2,5.71,51.2,70.1,6,9.6,1,>8,9.3,Low,30-60,CE,39.44,Below Average
7,5.46,55.0,80.1,3,16.3,1,6-8,9.0,Medium,30-60,CE,52.58,Average
1,7.57,80.5,86.9,1,14.5,5,6-8,10.6,Low,<30,ICT,73.67,Good
2,5.54,47.2,71.6,4,11.3,0,>8,10.2,Medium,<30,CE,44.21,Average
6,5.43,35.7,70.9,1,18.8,1,>8,7.1,Low,30-60,ICT,47.61,Average
4,4.79,35.8,56.3,5,7.6,0,<6,16.8,Medium,30-60,EE,28.33,At Risk
1,5.79,77.5,77.2,4,23.0,2,<6,6.2,Low,30-60,ME,54.16,Average
4,4.71,65.6,68.9,4,3.0,0,<6,12.5,High,30-60,ICT,37.58,Below Average
2,5.48,61.9,74.9,2,6.1,3,6-8,9.0,High,30-60,EC,53.25,Average
5,5.99,36.4,56.8,3,14.9,1,<6,6.0,Medium,<30,ICT,42.98,Below Average
0,7.29,59.9,74.0,-1,15.0,2,>8,3.8,Medium,30-60,ICT,63.51,Good
7,6.32,57.2,69.6,5,19.6,3,6-8,5.9,Medium,30-60,IT,53.45,Average
3,8.84,70.0,81.1,0,12.9,5,6-8,1.6,High,<30,IT,78.27,Excellent
5,7.29,74.3,68.7,0,17.6,2,<6,8.5,Low,<30,EE,62.1,Good
5,3.67,34.1,57.0,0,3.0,0,6-8,11.0,Medium,30-60,ME,36.18,Below Average
1,5.58,31.4,61.8,4,14.6,0,<6,8.8,Low,>60,ME,33.73,At Risk
7,6.68,65.5,88.9,2,13.2,2,<6,10.9,High,>60,CE,57.83,Average
2,5.14,36.9,68.0,2,13.3,1,6-8,11.8,Low,<30,EE,44.5,Average
1,2.02,20.0,43.4,8,6.4,0,<6,15.3,Medium,30-60,CE,7.83,At Risk
4,8.97,85.0,83.0,0,17.6,4,6-8,6.5,Medium,>60,IT,78.76,Excellent
7,7.15,71.8,83.8,1,17.0,2,>8,13.3,Medium,30-60,EC,64.73,Good
2,6.7,85.7,67.3,2,15.9,3,6-8,6.3,Low,<30,EE,62.48,Good
7,5.12,40.5,71.9,6,10.8,1,6-8,7.0,Medium,30-60,EE,40.37,Below Average
3,7.31,56.3,72.4,1,19.3,2,<6,6.4,Medium,30-60,IT,59.91,Good
6,5.79,65.3,70.5,3,9.1,0,<6,6.9,Low,>60,EC,43.73,Average
4,6.71,65.5,64.6,0,15.3,2,>8,9.5,Low,<30,IT,57.98,Average
1,4.92,40.5,68.4,7,8.8,1,<6,11.0,Low,>60,ME,29.6,At Risk
6,8.4,78.5,94.4,0,26.0,4,>8,4.9,High,30-60,EE,80.83,Excellent
0,6.65,40.2,58.5,-1,7.5,0,>8,14.7,Medium,30-60,EC,45.98,Average
5,7.63,82.4,93.5,0,16.6,4,6-8,2.6,Medium,<30,CE,80.79,Excellent
