last_sem_spi,internal_assessment_avg,attendance_percentage,total_backlogs,pyq_solving_frequency,study_hours_weekly,sleep_category,gaming_hours_weekly,assignment_delay_count,department,travel_time_category,extra_curricular_level,sleep_score,travel_score,extra_score,ps,performance_category
7.1,66.9,36.1,3,2,20.8,6-8,22.2,1,IT,<30,High,1.0,1.0,1.0,46.71,Average
5.92,56.9,21.9,2,5,40.5,>8,19.0,0,ME,>60,Medium,0.8,0.4,0.7,52.62,Average
5.28,39.5,32.1,3,2,21.9,6-8,25.6,1,EE,30-60,Low,1.0,0.7,0.3,25.84,At Risk
9.3,61.9,90.6,0,1,36.5,<6,1.8,1,EE,<30,Low,0.3,1.0,0.3,71.53,Good
1.65,46.9,21.0,2,3,29.5,6-8,13.5,1,EC,<30,High,1.0,1.0,1.0,24.67,At Risk
3.53,35.8,81.9,0,1,29.8,6-8,6.3,0,ICT,<30,Medium,1.0,1.0,0.7,42.82,Average
4.15,58.0,80.3,0,1,28.9,6-8,15.8,2,CE,30-60,High,1.0,0.7,1.0,50.85,Average
8.04,65.4,65.1,6,1,48.8,6-8,16.7,0,CE,>60,Low,1.0,0.4,0.3,56.87,Average
9.93,32.8,36.7,2,1,45.5,<6,17.4,3,ICT,>60,Low,0.3,0.4,0.3,42.23,Average
3.17,54.1,90.2,3,4,25.0,6-8,20.6,5,IT,30-60,Low,1.0,0.7,0.3,39.05,At Risk
8.87,45.5,58.0,2,5,47.4,6-8,9.2,2,ICT,>60,Low,1.0,0.4,0.3,67.37,Average
8.48,31.8,33.9,2,3,34.4,6-8,1.0,4,EC,30-60,Low,1.0,0.7,0.3,43.16,Average
3.02,37.5,54.3,1,4,42.9,<6,8.0,1,CE,>60,Medium,0.3,0.4,0.7,40.0,Average
4.59,38.3,35.6,1,5,41.7,<6,9.2,0,ME,>60,Medium,0.3,0.4,0.7,44.95,Average
4.69,41.0,50.1,2,4,48.3,6-8,13.7,3,EC,30-60,Medium,1.0,0.7,0.7,44.43,Average
9.8,78.2,59.7,1,2,14.0,<6,4.5,2,EC,<30,Medium,0.3,1.0,0.7,66.02,Average
2.63,56.4,48.8,1,1,36.6,6-8,21.4,3,IT,30-60,Medium,1.0,0.7,0.7,33.22,At Risk
8.19,38.8,72.6,1,3,47.5,>8,10.9,3,ME,30-60,Low,0.8,0.7,0.3,58.59,Average
4.01,36.0,94.9,1,3,7.8,6-8,11.3,2,EE,<30,Medium,1.0,1.0,0.7,39.95,At Risk
7.58,47.9,47.9,1,3,46.5,>8,10.0,3,ME,<30,Medium,0.8,1.0,0.7,54.71,Average
4.78,77.9,48.5,1,3,47.0,6-8,14.6,0,CE,30-60,High,1.0,0.7,1.0,65.14,Average
6.21,51.9,79.1,1,1,27.8,<6,2.0,0,CE,30-60,Low,0.3,0.7,0.3,51.54,Average
8.49,39.6,62.4,1,2,36.1,6-8,25.8,2,EE,<30,Low,1.0,1.0,0.3,50.38,Average
8.24,54.2,54.3,1,5,5.7,6-8,21.8,1,CE,<30,Low,1.0,1.0,0.3,55.21,Average
8.8,63.3,85.1,2,4,6.0,6-8,1.1,0,ME,>60,Medium,1.0,0.4,0.7,73.29,Good
1.54,31.8,91.3,0,2,5.8,6-8,25.9,1,CE,30-60,Medium,1.0,0.7,0.7,27.54,At Risk
7.23,67.7,67.2,1,2,25.3,>8,22.5,1,CE,>60,Low,0.8,0.4,0.3,59.21,Average
2.26,53.7,34.8,1,5,10.2,6-8,24.6,3,CE,<30,Low,1.0,1.0,0.3,26.81,At Risk
4.74,30.6,57.3,1,1,40.5,<6,16.7,1,CE,<30,High,0.3,1.0,1.0,32.59,At Risk
5.94,70.4,60.3,0,2,15.5,<6,24.9,3,EE,<30,High,0.3,1.0,1.0,47.32,Average
4.62,72.7,54.6,0,5,12.2,6-8,10.4,0,ME,30-60,High,1.0,0.7,1.0,62.36,Average
5.68,67.7,41.0,1,0,20.5,6-8,26.7,1,EC,<30,High,1.0,1.0,1.0,41.86,Average
9.97,50.5,57.8,2,3,15.0,<6,27.3,1,IT,30-60,High,0.3,0.7,1.0,53.95,Average
2.22,61.8,55.7,1,5,37.6,<6,2.0,2,EE,<30,Medium,0.3,1.0,0.7,46.23,Average
7.08,53.2,36.8,3,0,21.2,6-8,12.4,5,EC,<30,Medium,1.0,1.0,0.7,30.65,At Risk
4.56,72.0,92.3,0,1,40.0,6-8,11.5,3,ME,30-60,Medium,1.0,0.7,0.7,62.38,Average
2.2,65.0,90.8,0,3,41.7,>8,27.2,2,EC,<30,Low,0.8,1.0,0.3,50.64,Average
2.43,34.9,80.8,2,2,31.5,>8,24.2,2,IT,30-60,Low,0.8,0.7,0.3,27.96,At Risk
9.54,68.6,52.1,2,2,33.0,6-8,13.1,0,IT,30-60,Medium,1.0,0.7,0.7,69.15,Average
8.92,71.2,49.6,1,3,17.8,6-8,19.4,1,CE,30-60,High,1.0,0.7,1.0,66.33,Average
9.16,52.2,77.3,1,1,34.0,<6,22.3,1,CE,30-60,Low,0.3,0.7,0.3,57.5,Average
9.92,82.5,68.6,1,0,27.8,6-8,7.3,2,EE,30-60,Low,1.0,0.7,0.3,72.66,Good
2.87,80.6,68.0,0,1,36.5,>8,21.4,2,EE,>60,Medium,0.8,0.4,0.7,52.66,Average
4.2,40.5,29.9,0,2,35.1,<6,25.0,2,ME,30-60,Low,0.3,0.7,0.3,26.89,At Risk
7.02,84.3,69.5,1,1,36.2,>8,24.8,2,EE,>60,Medium,0.8,0.4,0.7,66.02,Average
5.35,56.5,92.1,1,5,43.4,<6,25.5,1,CE,<30,Medium,0.3,1.0,0.7,61.92,Average
4.77,73.4,26.9,0,1,31.6,<6,21.7,1,EC,30-60,Medium,0.3,0.7,0.7,42.37,Average
4.22,78.8,47.1,4,2,40.1,<6,24.5,2,EC,>60,High,0.3,0.4,1.0,43.04,Average
6.34,60.3,60.7,0,3,19.7,6-8,26.5,0,IT,30-60,Low,1.0,0.7,0.3,55.6,Average
6.18,53.9,74.9,2,3,40.7,<6,3.1,4,ICT,<30,Low,0.3,1.0,0.3,49.9,Average
2.45,84.9,27.2,2,0,19.2,<6,4.7,0,ICT,>60,Low,0.3,0.4,0.3,33.14,At Risk
5.25,43.9,89.8,1,1,21.4,6-8,24.2,2,EC,30-60,Medium,1.0,0.7,0.7,43.62,Average
5.98,45.4,23.2,1,4,44.4,>8,0.1,2,ME,<30,Low,0.8,1.0,0.3,46.24,Average
6.13,51.7,88.6,1,3,16.3,<6,14.2,1,EC,>60,Medium,0.3,0.4,0.7,53.77,Average
2.89,81.6,22.2,3,5,38.2,>8,7.3,1,EE,30-60,Medium,0.8,0.7,0.7,49.18,Average
7.68,86.3,32.3,0,5,15.5,6-8,18.3,1,EE,30-60,High,1.0,0.7,1.0,71.26,Good
1.23,43.2,84.0,0,5,15.9,<6,26.4,2,EC,30-60,Low,0.3,0.7,0.3,32.33,At Risk
4.19,81.8,88.8,1,4,32.2,6-8,17.8,2,ME,30-60,Medium,1.0,0.7,0.7,67.67,Average
8.02,45.5,98.6,0,1,6.6,>8,11.9,4,ME,30-60,Medium,0.8,0.7,0.7,52.51,Average
6.08,88.2,29.3,1,1,34.2,6-8,13.9,0,ICT,30-60,Low,1.0,0.7,0.3,58.31,Average
3.35,65.8,62.1,0,3,38.1,>8,29.8,1,EE,<30,High,0.8,1.0,1.0,50.89,Average
7.25,30.4,26.2,2,2,46.2,6-8,8.3,0,EC,<30,Low,1.0,1.0,0.3,40.85,Average
6.11,32.0,32.5,1,2,38.9,6-8,22.9,1,IT,<30,Medium,1.0,1.0,0.7,36.18,At Risk
8.17,38.8,34.0,0,3,43.0,<6,14.4,3,ME,<30,Low,0.3,1.0,0.3,45.4,Average
7.62,41.3,25.1,0,0,15.5,6-8,1.1,1,CE,30-60,Low,1.0,0.7,0.3,38.61,At Risk
6.49,76.1,91.4,2,2,19.0,6-8,6.0,2,ME,30-60,Low,1.0,0.7,0.3,63.78,Average
5.39,43.4,30.1,4,0,47.5,>8,25.7,1,ICT,30-60,Low,0.8,0.7,0.3,25.87,At Risk
2.2,88.1,70.3,1,5,32.8,6-8,15.4,0,EC,30-60,Medium,1.0,0.7,0.7,65.31,Average
3.35,68.2,70.1,3,1,35.2,>8,24.2,0,EE,30-60,Medium,0.8,0.7,0.7,43.55,Average
4.77,71.6,35.9,0,4,35.2,>8,27.4,0,ICT,30-60,Medium,0.8,0.7,0.7,55.92,Average
6.39,43.1,99.9,0,3,49.8,>8,25.2,1,ICT,<30,Medium,0.8,1.0,0.7,64.11,Average
5.62,83.6,47.8,0,4,37.0,<6,4.3,2,ME,30-60,Low,0.3,0.7,0.3,64.34,Average
3.59,70.1,92.4,0,1,39.3,<6,3.8,0,CE,<30,Low,0.3,1.0,0.3,57.27,Average
1.06,81.9,95.9,2,1,46.1,<6,17.0,4,IT,<30,Low,0.3,1.0,0.3,42.21,Average
5.47,87.4,95.9,2,2,19.1,<6,15.5,6,EE,<30,Low,0.3,1.0,0.3,52.14,Average
3.57,37.5,80.2,0,2,42.0,<6,3.7,1,ICT,30-60,High,0.3,0.7,1.0,46.05,Average
7.61,35.8,40.3,1,5,6.2,6-8,12.7,2,ME,<30,Low,1.0,1.0,0.3,42.37,Average
1.22,78.2,29.7,0,0,10.4,6-8,6.3,2,ICT,>60,High,1.0,0.4,1.0,32.44,At Risk
6.26,82.0,65.6,4,0,11.0,6-8,10.2,1,CE,>60,Medium,1.0,0.4,0.7,50.61,Average
9.47,65.0,48.8,1,0,5.2,<6,9.1,1,CE,<30,Low,0.3,1.0,0.3,48.23,Average
2.57,52.0,86.5,1,0,24.6,6-8,6.7,1,CE,30-60,High,1.0,0.7,1.0,41.61,Average
5.24,69.2,79.6,1,2,49.4,<6,23.4,1,IT,<30,Medium,0.3,1.0,0.7,58.45,Average
1.82,48.3,42.1,2,0,17.5,6-8,11.1,2,EC,>60,Medium,1.0,0.4,0.7,19.95,At Risk
6.63,44.3,21.4,0,0,13.1,>8,19.9,1,CE,30-60,Low,0.8,0.7,0.3,29.59,At Risk
5.95,59.3,39.0,1,3,25.3,>8,5.9,3,IT,<30,Medium,0.8,1.0,0.7,46.56,Average
4.67,43.0,65.4,1,1,38.2,>8,19.9,3,EC,<30,Medium,0.8,1.0,0.7,37.04,At Risk
5.69,59.0,26.3,1,2,7.2,<6,9.8,1,EC,>60,Low,0.3,0.4,0.3,34.8,At Risk
9.07,87.4,72.7,3,2,29.1,6-8,21.3,2,ME,30-60,High,1.0,0.7,1.0,73.1,Good
2.77,80.4,73.7,0,3,26.3,<6,20.9,2,ME,>60,Low,0.3,0.4,0.3,51.19,Average
1.2,86.5,33.6,0,3,30.6,6-8,22.0,0,ME,<30,Medium,1.0,1.0,0.7,46.53,Average
8.75,78.4,67.7,1,3,32.2,>8,25.5,0,EE,<30,Low,0.8,1.0,0.3,72.35,Good
6.19,51.3,68.6,0,1,18.0,<6,15.5,4,CE,<30,Low,0.3,1.0,0.3,38.0,At Risk
9.02,78.7,58.2,0,2,19.1,>8,14.1,3,ICT,<30,Medium,0.8,1.0,0.7,66.5,Average
6.37,85.4,96.3,5,3,24.4,6-8,18.4,1,ME,<30,Low,1.0,1.0,0.3,63.21,Average
8.29,86.8,28.7,1,0,48.9,6-8,22.2,1,EE,>60,Medium,1.0,0.4,0.7,66.29,Average
4.87,71.0,52.5,0,0,32.0,6-8,19.6,1,IT,30-60,Low,1.0,0.7,0.3,48.73,Average
7.75,42.7,90.6,1,3,12.4,<6,1.4,2,ICT,<30,Low,0.3,1.0,0.3,52.36,Average
9.22,32.4,50.9,2,3,12.4,<6,25.5,2,EE,<30,Medium,0.3,1.0,0.7,37.8,At Risk
6.15,38.8,54.0,2,2,36.0,<6,20.4,0,ME,30-60,Low,0.3,0.7,0.3,38.41,At Risk
2.63,87.9,73.5,0,2,25.9,<6,24.1,0,IT,<30,Low,0.3,1.0,0.3,51.38,Average
3.42,57.7,73.2,0,5,43.5,6-8,24.6,2,ME,<30,Medium,1.0,1.0,0.7,56.58,Average
2.79,81.3,21.8,0,3,26.2,6-8,1.9,1,IT,30-60,Medium,1.0,0.7,0.7,49.69,Average
3.22,57.9,56.5,0,4,6.0,6-8,7.9,0,ME,30-60,Low,1.0,0.7,0.3,45.21,Average
3.76,69.6,46.7,0,1,33.9,6-8,10.5,2,EE,30-60,Low,1.0,0.7,0.3,46.26,Average
6.0,31.4,70.2,0,1,17.0,<6,25.4,0,EE,>60,Medium,0.3,0.4,0.7,37.07,At Risk
6.29,45.0,64.5,1,5,49.4,<6,2.1,1,ICT,<30,Medium,0.3,1.0,0.7,60.44,Average
4.84,56.2,72.1,1,1,5.3,6-8,12.3,0,EC,>60,Low,1.0,0.4,0.3,43.93,Average
6.54,67.8,72.3,1,1,14.4,6-8,26.9,4,CE,30-60,Medium,1.0,0.7,0.7,48.39,Average
1.73,40.3,40.4,1,1,34.2,<6,20.1,1,EE,30-60,Medium,0.3,0.7,0.7,19.57,At Risk
1.79,75.9,39.7,1,3,12.9,<6,17.6,0,EC,30-60,High,0.3,0.7,1.0,36.99,At Risk
2.55,51.9,49.6,2,3,36.7,6-8,13.7,3,CE,>60,Medium,1.0,0.4,0.7,36.71,At Risk
5.66,79.0,39.4,1,4,28.2,<6,19.3,0,ICT,<30,High,0.3,1.0,1.0,57.21,Average
2.93,35.9,74.6,0,0,11.2,<6,22.7,2,CE,<30,Medium,0.3,1.0,0.7,20.16,At Risk
3.55,70.8,68.2,0,1,23.0,>8,27.7,0,CE,<30,Medium,0.8,1.0,0.7,46.72,Average
4.6,47.6,37.3,1,4,29.8,<6,1.1,0,CE,<30,Medium,0.3,1.0,0.7,42.86,Average
8.31,77.7,90.7,2,1,30.0,<6,9.1,2,EC,>60,Low,0.3,0.4,0.3,67.32,Average
1.12,54.1,56.9,0,3,27.1,>8,26.7,2,EC,<30,Medium,0.8,1.0,0.7,31.68,At Risk
6.84,69.9,30.2,1,3,38.0,<6,28.4,0,EE,<30,Medium,0.3,1.0,0.7,52.49,Average
7.02,86.1,37.0,1,5,21.2,6-8,0.8,1,IT,30-60,Low,1.0,0.7,0.3,70.23,Good
8.19,31.2,63.2,1,1,32.9,>8,13.6,4,EE,<30,Medium,0.8,1.0,0.7,42.18,Average
9.39,30.7,47.1,3,1,13.5,6-8,22.9,2,EC,>60,Low,1.0,0.4,0.3,35.38,At Risk
1.18,76.2,88.1,0,5,48.7,6-8,27.1,0,IT,<30,Low,1.0,1.0,0.3,62.64,Average
2.38,68.8,59.6,2,5,15.7,<6,4.2,1,EC,<30,Medium,0.3,1.0,0.7,43.25,Average
8.98,47.6,93.2,3,4,43.8,6-8,7.9,3,ME,<30,Medium,1.0,1.0,0.7,69.01,Average
5.13,59.7,28.1,1,3,12.9,6-8,14.1,2,ME,<30,High,1.0,1.0,1.0,40.02,Average
6.08,32.5,73.5,4,1,48.4,<6,13.4,4,ME,30-60,Low,0.3,0.7,0.3,31.48,At Risk
6.97,41.5,90.9,1,4,49.3,<6,9.0,1,ICT,<30,Low,0.3,1.0,0.3,62.09,Average
7.11,55.5,43.4,2,0,17.1,6-8,19.0,2,EC,>60,Low,1.0,0.4,0.3,38.64,At Risk
9.39,80.0,30.9,0,4,14.7,6-8,27.1,3,ME,<30,Low,1.0,1.0,0.3,62.69,Average
9.97,58.8,56.5,1,4,38.6,<6,20.9,1,IT,<30,Low,0.3,1.0,0.3,66.26,Average
7.48,65.2,96.9,2,1,35.6,>8,12.1,4,ICT,30-60,High,0.8,0.7,1.0,63.05,Average
3.58,82.4,70.7,2,0,36.9,>8,12.5,1,ICT,<30,Medium,0.8,1.0,0.7,50.57,Average
8.92,48.5,71.5,0,5,9.0,>8,26.8,1,IT,30-60,Medium,0.8,0.7,0.7,62.93,Average
1.44,72.0,73.7,2,2,30.2,<6,25.5,1,CE,<30,Low,0.3,1.0,0.3,35.1,At Risk
3.08,81.7,23.2,1,5,35.4,6-8,19.7,3,CE,<30,Medium,1.0,1.0,0.7,48.43,Average
9.08,42.2,55.7,2,0,19.3,6-8,2.7,2,EC,>60,Low,1.0,0.4,0.3,46.94,Average
3.31,51.4,26.2,1,5,36.1,<6,15.3,0,ME,30-60,Medium,0.3,0.7,0.7,39.73,At Risk
2.99,88.8,45.3,2,2,23.1,<6,21.7,3,CE,30-60,Low,0.3,0.7,0.3,37.68,At Risk
2.24,89.0,85.7,0,4,19.7,<6,6.5,0,CE,<30,Medium,0.3,1.0,0.7,61.94,Average
8.73,43.4,72.5,1,0,40.5,6-8,2.1,1,CE,<30,Medium,1.0,1.0,0.7,59.51,Average
5.5,34.0,99.6,0,5,14.4,<6,23.7,1,ICT,30-60,Medium,0.3,0.7,0.7,50.45,Average
7.07,46.3,33.8,1,5,5.1,<6,19.6,3,ICT,30-60,Medium,0.3,0.7,0.7,38.23,At Risk
3.15,53.9,51.8,0,3,40.0,>8,17.5,1,CE,>60,Low,0.8,0.4,0.3,45.46,Average
7.82,56.5,84.8,0,2,46.2,6-8,0.3,0,IT,>60,High,1.0,0.4,1.0,79.21,Good
7.84,67.1,37.3,0,0,23.0,6-8,29.4,2,CE,>60,Medium,1.0,0.4,0.7,50.4,Average
3.81,84.0,32.3,0,1,22.4,<6,6.1,0,ME,<30,High,0.3,1.0,1.0,47.04,Average
4.7,49.8,54.2,1,2,48.9,<6,28.0,1,ICT,<30,Low,0.3,1.0,0.3,39.68,At Risk
2.89,81.0,50.7,0,5,13.8,>8,23.6,1,EC,<30,Medium,0.8,1.0,0.7,51.37,Average
9.79,35.6,98.4,1,2,39.1,>8,19.1,2,EC,>60,Low,0.8,0.4,0.3,65.1,Average
6.81,32.5,56.5,1,2,8.3,6-8,12.4,1,EE,<30,Low,1.0,1.0,0.3,36.64,At Risk
9.41,60.2,88.9,1,1,48.6,6-8,16.6,2,ME,<30,High,1.0,1.0,1.0,74.22,Good
3.73,33.6,91.0,0,3,37.4,6-8,26.9,1,ME,<30,Medium,1.0,1.0,0.7,46.03,Average
8.04,53.5,32.6,1,3,11.7,>8,16.3,1,ICT,<30,Medium,0.8,1.0,0.7,47.09,Average
7.89,83.8,77.2,0,4,36.8,<6,13.7,3,EC,30-60,Low,0.3,0.7,0.3,75.79,Good
7.22,44.5,42.2,1,5,44.1,6-8,10.5,1,EE,30-60,Low,1.0,0.7,0.3,58.99,Average
9.69,72.4,27.6,0,4,11.5,>8,12.5,2,ICT,<30,Medium,0.8,1.0,0.7,63.77,Average
4.54,48.1,90.0,1,0,40.9,<6,5.7,0,ICT,>60,High,0.3,0.4,1.0,50.82,Average
2.18,32.7,43.4,2,0,48.2,<6,3.2,5,EE,<30,Medium,0.3,1.0,0.7,13.78,At Risk
7.05,63.4,47.6,0,0,46.5,<6,11.1,1,IT,30-60,Low,0.3,0.7,0.3,53.48,Average
7.56,80.1,45.9,1,1,22.4,<6,15.6,2,ICT,>60,Low,0.3,0.4,0.3,53.9,Average
6.18,54.6,36.0,4,3,35.7,<6,9.5,2,ICT,<30,Medium,0.3,1.0,0.7,38.12,At Risk
2.86,67.0,54.8,1,1,23.7,<6,3.7,1,EE,>60,Low,0.3,0.4,0.3,38.39,At Risk
5.54,84.0,54.3,2,1,9.4,6-8,25.9,3,ICT,30-60,Medium,1.0,0.7,0.7,45.45,Average
3.81,77.4,52.7,1,2,17.4,<6,23.9,1,IT,>60,Low,0.3,0.4,0.3,42.12,Average
4.85,41.6,93.3,1,5,26.3,6-8,11.4,1,IT,30-60,High,1.0,0.7,1.0,59.03,Average
6.81,74.0,47.2,3,4,35.2,6-8,3.6,0,EE,>60,Medium,1.0,0.4,0.7,67.11,Average
7.71,60.1,22.4,2,4,15.6,<6,0.7,1,IT,30-60,Medium,0.3,0.7,0.7,48.82,Average
3.09,74.8,34.3,0,5,35.2,<6,17.6,1,EC,<30,Medium,0.3,1.0,0.7,49.69,Average
4.65,59.7,77.7,0,3,49.7,<6,12.8,1,EE,30-60,Low,0.3,0.7,0.3,58.77,Average
3.42,37.7,67.3,0,3,28.0,>8,16.5,1,EC,>60,Medium,0.8,0.4,0.7,41.6,Average
2.79,64.2,96.1,0,5,37.6,<6,8.4,1,IT,<30,Low,0.3,1.0,0.3,59.94,Average
8.05,59.5,75.6,3,2,40.4,6-8,28.9,1,IT,<30,High,1.0,1.0,1.0,60.43,Average
9.18,61.1,35.5,0,2,15.5,6-8,22.7,2,EE,<30,Medium,1.0,1.0,0.7,54.25,Average
4.33,82.7,29.7,3,1,7.6,6-8,27.2,1,CE,30-60,Medium,1.0,0.7,0.7,34.8,At Risk
7.76,83.7,61.7,1,2,32.0,6-8,17.2,3,CE,>60,Low,1.0,0.4,0.3,67.64,Average
9.07,57.2,73.2,0,4,25.4,6-8,22.0,4,CE,30-60,Low,1.0,0.7,0.3,65.63,Average
8.62,57.3,33.3,0,5,42.5,6-8,24.7,2,EC,30-60,Medium,1.0,0.7,0.7,66.08,Average
2.65,60.9,68.1,0,0,31.3,<6,2.6,1,EC,30-60,High,0.3,0.7,1.0,41.97,Average
9.61,61.2,89.2,2,0,29.6,6-8,9.7,2,EE,30-60,Low,1.0,0.7,0.3,65.09,Average
4.39,87.0,78.2,1,1,17.0,>8,0.6,1,EC,>60,Low,0.8,0.4,0.3,59.73,Average
4.05,69.0,73.1,2,1,33.6,6-8,12.7,0,EC,30-60,High,1.0,0.7,1.0,53.83,Average
1.56,46.6,83.1,1,4,8.9,<6,26.4,1,EE,<30,High,0.3,1.0,1.0,30.94,At Risk
5.38,61.9,28.3,1,1,22.5,>8,10.8,0,IT,<30,Low,0.8,1.0,0.3,39.44,At Risk
1.98,67.6,36.3,1,4,47.9,6-8,26.8,0,EC,<30,Medium,1.0,1.0,0.7,45.95,Average
3.24,68.4,23.0,1,3,7.7,6-8,28.8,0,ICT,30-60,Medium,1.0,0.7,0.7,34.42,At Risk
3.85,65.1,31.6,1,5,48.0,6-8,2.4,1,EC,30-60,Medium,1.0,0.7,0.7,57.64,Average
8.28,40.7,93.1,1,0,27.2,6-8,3.5,1,EC,<30,Medium,1.0,1.0,0.7,57.64,Average
8.88,32.0,37.8,0,5,44.5,6-8,26.6,2,IT,<30,Low,1.0,1.0,0.3,54.87,Average
3.72,50.3,73.0,1,4,34.5,<6,1.0,0,EE,30-60,High,0.3,0.7,1.0,53.02,Average
8.73,55.7,75.3,0,2,8.2,<6,21.2,1,ME,30-60,Low,0.3,0.7,0.3,54.87,Average
8.72,33.7,71.6,4,4,42.7,6-8,14.2,1,ME,30-60,Medium,1.0,0.7,0.7,57.38,Average
7.88,78.9,64.3,2,0,39.3,<6,20.3,2,EE,<30,High,0.3,1.0,1.0,58.13,Average
2.32,50.6,58.9,1,0,44.5,>8,5.8,3,IT,>60,Low,0.8,0.4,0.3,33.41,At Risk
7.21,84.8,53.6,1,5,33.3,>8,22.4,1,EC,<30,Medium,0.8,1.0,0.7,72.26,Good
9.51,39.3,93.4,1,2,22.1,6-8,15.6,3,ICT,30-60,Low,1.0,0.7,0.3,58.98,Average
7.14,33.4,20.8,1,5,46.5,<6,1.4,3,CE,<30,Low,0.3,1.0,0.3,42.78,Average
3.98,58.9,24.3,2,4,48.7,6-8,12.0,1,ICT,30-60,Medium,1.0,0.7,0.7,47.0,Average
5.51,41.3,59.4,1,0,38.0,<6,17.6,0,ICT,30-60,Low,0.3,0.7,0.3,36.96,At Risk
6.81,86.2,46.4,0,4,13.1,>8,22.1,0,EC,30-60,Low,0.8,0.7,0.3,65.15,Average
5.6,30.6,52.7,1,1,17.3,6-8,17.6,1,ICT,>60,Low,1.0,0.4,0.3,31.85,At Risk
2.08,54.8,99.8,0,4,40.0,<6,25.6,1,ME,<30,Medium,0.3,1.0,0.7,50.37,Average
3.81,85.6,82.0,1,0,14.5,>8,17.5,3,EC,<30,Low,0.8,1.0,0.3,45.74,Average
8.22,53.1,90.2,2,2,17.0,6-8,2.0,4,EE,<30,High,1.0,1.0,1.0,58.5,Average
8.75,35.6,49.5,1,1,8.3,<6,0.4,2,ME,<30,Medium,0.3,1.0,0.7,38.62,At Risk
2.24,48.2,39.2,1,2,32.7,>8,21.5,2,CE,30-60,Low,0.8,0.7,0.3,26.31,At Risk
9.57,59.9,81.4,2,2,23.1,>8,5.1,0,ME,<30,Low,0.8,1.0,0.3,67.51,Average
3.96,41.1,84.6,0,3,15.1,>8,0.4,3,EC,>60,Medium,0.8,0.4,0.7,45.65,Average
6.96,58.0,64.0,3,2,28.8,>8,29.8,1,IT,30-60,Low,0.8,0.7,0.3,46.95,Average
7.77,80.2,91.7,0,4,29.5,<6,10.2,1,EC,30-60,High,0.3,0.7,1.0,81.8,Good
8.31,82.4,97.4,1,0,13.4,<6,3.3,2,EE,30-60,High,0.3,0.7,1.0,68.81,Average
9.51,33.0,57.7,0,0,6.2,<6,22.9,2,IT,30-60,Medium,0.3,0.7,0.7,37.78,At Risk
3.82,39.7,37.8,1,4,44.5,6-8,8.1,1,CE,<30,High,1.0,1.0,1.0,43.55,Average
8.73,46.5,61.4,0,2,12.1,<6,11.1,0,EC,<30,Medium,0.3,1.0,0.7,52.88,Average
2.19,65.7,99.2,3,3,43.1,6-8,12.6,0,EC,30-60,Medium,1.0,0.7,0.7,56.34,Average
7.35,51.7,43.4,0,5,26.1,6-8,29.4,2,IT,30-60,Low,1.0,0.7,0.3,54.51,Average
7.68,80.6,69.4,0,5,33.9,<6,12.7,4,IT,30-60,Low,0.3,0.7,0.3,72.18,Good
7.1,73.0,75.5,1,3,24.1,6-8,29.7,3,EC,>60,Low,1.0,0.4,0.3,61.74,Average
3.27,36.0,37.1,2,4,36.4,6-8,1.6,0,CE,<30,Low,1.0,1.0,0.3,35.52,At Risk
8.86,67.5,67.1,1,5,17.2,<6,6.3,4,ICT,30-60,Medium,0.3,0.7,0.7,66.05,Average
2.52,36.8,45.2,0,4,15.0,>8,9.9,0,CE,<30,Low,0.8,1.0,0.3,30.84,At Risk
1.48,45.3,88.3,1,5,24.1,>8,2.7,2,ME,<30,High,0.8,1.0,1.0,44.76,Average
7.46,40.7,77.2,1,0,25.5,6-8,20.8,1,EC,30-60,High,1.0,0.7,1.0,49.12,Average
5.28,40.4,86.1,1,5,14.7,>8,1.8,1,EC,30-60,Medium,0.8,0.7,0.7,54.67,Average
8.64,67.0,36.0,1,4,44.5,<6,6.6,1,EE,30-60,Medium,0.3,0.7,0.7,67.52,Average
4.45,63.8,22.8,0,1,20.4,<6,26.3,0,ICT,30-60,Medium,0.3,0.7,0.7,33.67,At Risk
2.51,40.6,88.0,2,2,43.9,<6,9.2,1,EE,>60,High,0.3,0.4,1.0,41.24,Average
8.53,89.4,50.9,2,5,24.7,6-8,14.7,0,IT,<30,Low,1.0,1.0,0.3,76.37,Good
5.94,55.3,34.4,0,1,21.2,6-8,7.8,1,CE,30-60,Low,1.0,0.7,0.3,43.55,Average
2.7,35.8,27.4,1,4,43.2,>8,1.2,1,IT,>60,Low,0.8,0.4,0.3,34.93,At Risk
7.48,37.2,61.3,0,2,15.0,>8,4.6,2,EE,<30,High,0.8,1.0,1.0,47.85,Average
5.6,65.0,32.0,3,4,8.4,6-8,8.1,1,ME,30-60,Low,1.0,0.7,0.3,42.68,Average
6.44,88.7,65.3,1,3,15.8,<6,17.5,2,CE,>60,Low,0.3,0.4,0.3,61.01,Average
5.15,64.3,78.2,1,5,5.8,6-8,19.5,2,EE,30-60,Medium,1.0,0.7,0.7,55.87,Average
8.46,86.9,62.8,1,0,25.0,6-8,12.0,1,ICT,30-60,Medium,1.0,0.7,0.7,69.32,Average
8.47,56.6,92.3,2,4,35.0,6-8,27.8,0,EC,30-60,Low,1.0,0.7,0.3,70.87,Good
7.38,56.2,32.4,1,1,21.2,>8,5.6,1,EE,30-60,Low,0.8,0.7,0.3,45.34,Average
